code,Bronze,Gold,Silver,total
AFG,1,0,0,1
AHO,0,0,1,1
ALG,8,4,2,14
ARG,70,46,37,153
ARM,7,1,1,9
AUS,312,216,270,798
AUT,8,9,17,34
AZE,9,4,3,16
BAH,3,7,9,19
BAR,1,0,0,1
BDI,0,1,0,1
BEL,20,6,15,41
BER,1,0,0,1
BLR,53,14,25,92
BRA,125,56,137,318
BUL,107,40,100,247
CAN,117,76,111,304
CHI,19,3,2,24
CHN,193,234,252,679
CIV,0,0,1,1
CMR,1,20,0,21
COL,5,1,2,8
CRC,2,1,1,4
CRO,18,31,30,79
CUB,88,152,109,349
CZE,13,10,18,41
DEN,50,78,20,148
DJI,1,0,0,1
DOM,1,2,1,4
ECU,0,1,1,2
EGY,4,1,2,7
ERI,1,0,0,1
ESP,76,87,165,328
EST,6,3,3,12
ETH,12,15,5,32
EUN,66,92,65,223
FIN,19,18,17,54
FRA,185,154,110,449
FRG,126,84,135,345
GBR,188,122,157,467
GDR,150,286,190,626
GEO,11,5,2,18
GER,278,237,176,691
GHA,13,0,0,13
GRE,23,19,32,74
GUY,1,0,0,1
HKG,0,1,2,3
HUN,135,129,104,368
INA,12,9,14,35
IND,4,17,1,22
IOP,2,0,1,3
IRI,8,7,6,21
IRL,4,4,6,14
ISL,2,0,14,16
ISR,5,1,1,7
ISV,0,0,1,1
ITA,178,145,163,486
JAM,38,17,34,89
JPN,182,94,112,388
KAZ,14,9,16,39
KEN,17,18,21,56
KGZ,2,0,1,3
KOR,128,140,186,454
KSA,1,0,1,2
KUW,1,0,0,1
LAT,3,2,9,14
LIB,1,0,0,1
LTU,42,4,4,50
MAR,10,6,4,20
MAS,3,0,3,6
MDA,3,0,3,6
MEX,22,6,10,38
MGL,7,2,5,14
MKD,1,0,0,1
MOZ,1,1,0,2
MRI,1,0,0,1
NAM,0,0,4,4
NED,151,137,140,428
NGR,25,19,38,82
NOR,46,50,58,154
NZL,51,50,21,122
PAK,33,16,0,49
PAN,0,1,0,1
PAR,0,0,17,17
PER,0,0,14,14
PHI,2,0,1,3
POL,98,52,113,263
POR,7,4,5,16
PRK,17,9,11,37
PUR,4,0,1,5
QAT,2,0,0,2
ROU,190,135,157,482
RSA,7,7,10,24
RUS,240,192,206,638
SCG,0,0,14,14
SEN,0,0,1,1
SIN,0,0,3,3
SLO,11,4,6,21
SRB,14,0,1,15
SRI,0,0,1,1
SUD,0,0,1,1
SUI,28,14,37,79
SUR,1,1,0,2
SVK,8,10,11,29
SWE,55,28,110,193
SYR,1,1,1,3
TAN,0,0,2,2
TCH,29,27,29,85
TGA,0,0,1,1
THA,10,7,4,21
TJK,1,0,1,2
TOG,1,0,0,1
TPE,12,2,26,40
TRI,4,1,6,11
TUN,1,1,0,2
TUR,15,14,11,40
UAE,0,1,0,1
UGA,1,0,1,2
UKR,78,32,38,148
URS,297,439,285,1021
URU,0,0,1,1
USA,481,928,583,1992
UZB,8,4,5,17
VEN,6,0,2,8
VIE,0,0,2,2
YUG,102,90,86,278
ZAM,1,0,1,2
ZIM,1,18,4,23
