code,Bronze,Gold,Silver,total
AFG,1,0,0,1
ARE,0,1,0,1
ARG,7,4,3,14
ARM,7,1,1,9
AUS,66,41,57,164
AUT,5,5,10,20
AZE,6,3,3,12
BDI,0,1,0,1
BEL,8,3,7,18
BGR,44,27,39,110
BHS,2,0,1,3
BLR,22,4,13,39
BMU,1,0,0,1
BRA,28,14,17,59
BRB,1,0,0,1
CAN,32,19,34,85
CHE,13,10,13,36
CHL,2,2,2,6
CHN,45,72,50,167
CMR,1,1,0,2
COL,1,0,2,3
CUB,39,48,39,126
CZE,8,6,8,22
DEU,166,144,128,438
DJI,1,0,0,1
DNK,17,12,10,39
DOM,1,2,1,4
DZA,7,2,2,11
ECU,0,1,1,2
EGY,4,1,2,7
ERI,1,0,0,1
ESP,17,25,35,77
EST,5,2,2,9
ETH,7,9,3,19
FIN,17,15,12,44
FRA,75,53,51,179
GBR,63,48,59,170
GEO,10,5,2,17
GHA,1,0,0,1
GRC,8,13,11,32
GUY,1,0,0,1
HRV,5,3,5,13
HUN,45,42,40,127
IDN,6,5,5,16
IND,3,2,1,6
IRL,3,1,4,8
IRN,8,7,6,21
ISL,1,0,1,2
ISR,5,1,0,6
ITA,63,61,42,166
JAM,5,4,6,15
JPN,48,40,33,121
KAZ,12,8,14,34
KEN,17,16,15,48
KGZ,2,0,1,3
KOR,44,42,47,133
KWT,1,0,0,1
LBN,1,0,0,1
LTU,6,3,2,11
LVA,3,2,8,13
MAR,8,5,3,16
MDA,3,0,2,5
MEX,11,4,8,23
MKD,1,0,0,1
MNG,6,2,4,12
MUS,1,0,0,1
MYS,2,0,2,4
NAM,0,0,4,4
NGA,5,1,6,12
NLD,20,14,20,54
NOR,7,13,12,32
NZL,21,19,11,51
PAK,3,1,0,4
PAN,0,1,0,1
PER,0,0,2,2
PHL,2,0,1,3
POL,47,29,40,116
PRI,4,0,1,5
PRK,11,6,6,23
PRT,4,2,4,10
PRY,0,0,1,1
QAT,2,0,0,2
ROU,48,16,31,95
RUS,78,67,45,190
SAU,1,0,1,2
SDN,0,0,1,1
SEN,0,0,1,1
SRB,2,0,2,4
SUR,1,1,0,2
SVK,5,5,5,15
SVN,4,3,3,10
SWE,24,14,33,71
SYR,1,0,1,2
TGO,1,0,0,1
THA,6,4,3,13
TJK,1,0,1,2
TON,0,0,1,1
TRI,4,1,3,8
TUN,1,1,0,2
TUR,13,13,7,33
TWN,4,1,3,8
TZA,0,0,2,2
UGA,1,0,1,2
UKR,26,14,13,53
URY,0,0,1,1
USA,141,224,185,550
UZB,7,4,5,16
VEN,4,0,2,6
VNM,0,0,1,1
ZAF,4,2,6,12
ZMB,1,0,1,2
